 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
    7.7863    8.0000    8.7010    8.6580    5.2812   -0.0440    5.1056    6.0293  1.0000E-10      7.0623  6.1403E-10
    7.7873    8.0000    8.7010    8.6539    5.2866   -0.0418    5.1058    6.0445  1.0000E-10      7.0623  6.1565E-10
    7.7883    8.0000    8.7010    8.6497    5.2921   -0.0396    5.1061    6.0597  1.0000E-10      7.0623  6.1728E-10
    7.7892    8.0000    8.7010    8.6455    5.2976   -0.0373    5.1063    6.0750  1.0000E-10      7.0623  6.1891E-10
    7.7902    8.0000    8.7010    8.6413    5.3030   -0.0350    5.1065    6.0902  1.0000E-10      7.0623  6.2053E-10
    7.7911    8.0000    8.7010    8.6370    5.3085   -0.0327    5.1067    6.1056  1.0000E-10      7.0623  6.2214E-10
    7.7921    8.0000    8.7010    8.6327    5.3139   -0.0303    5.1069    6.1209  1.0000E-10      7.0623  6.2375E-10
    7.7930    8.0000    8.7010    8.6284    5.3194   -0.0278    5.1070    6.1363  1.0000E-10      7.0623  6.2535E-10
    7.7939    8.0000    8.7010    8.6240    5.3248   -0.0253    5.1071    6.1518  1.0000E-10      7.0623  6.2694E-10
    7.7948    8.0000    8.7010    8.6196    5.3303   -0.0228    5.1072    6.1672  1.0000E-10      7.0623  6.2851E-10
